iterNum,populationSize,minimumValue
1,11318,565.281
2,12723,565.281
3,14332,563.789
4,16011,558.564
5,17778,557.411
6,19820,557.411
7,21851,552.729
8,24095,552.729
9,26603,524.432
10,29094,524.432
11,31881,502.676
12,34970,502.676
13,37934,502.676
14,41098,502.676
15,44389,502.676
16,47733,502.676
17,51291,502.676
18,55074,502.676
19,58636,477.915
20,62450,465.544
21,66574,465.544
22,70194,465.544
23,74046,465.544
24,78075,465.544
25,81601,465.544
26,85376,465.544
27,89206,465.544
28,92891,465.544
29,96665,465.544
30,100604,465.544
31,104029,465.544
32,107621,465.544
33,111342,454.675
34,114722,454.675
35,118153,454.675
36,121915,454.675
37,124767,454.675
38,127987,454.675
39,131224,448.501
40,133934,448.501
41,136546,446.291
42,139136,416.836
43,141144,416.836
44,143303,416.836
45,145548,416.836
46,146954,416.836
47,148330,416.836
48,149813,416.836
49,150676,416.836
50,151505,416.836
51,152377,416.836
52,152352,416.836
53,152393,416.836
54,152452,416.836
55,151658,416.836
56,150847,416.836
57,150126,416.836
58,148609,416.836
59,147005,416.836
60,145636,416.836
61,143511,416.836
62,141433,416.836
63,139404,416.836
64,136603,416.836
65,133872,396.287
66,131104,396.287
67,127813,396.287
68,124583,396.287
69,121473,396.287
70,117902,396.287
71,114329,396.287
72,110896,396.287
73,107067,394.739
74,103342,394.739
75,99768,394.739
76,95793,394.739
77,91965,394.739
78,88254,389.978
79,84251,386.4
80,80454,376.661
81,76854,376.661
82,73010,376.661
83,69358,376.661
84,65889,355.951
85,62594,355.951
86,59463,355.951
87,56488,355.951
88,53663,355.951
89,50978,355.951
90,48428,355.951
91,46006,355.951
92,43704,355.951
93,41518,355.951
94,39441,355.951
95,37468,355.951
96,35594,355.951
97,33813,355.951
98,32121,355.951
99,30514,355.951
100,28987,349.531
101,27536,336.148
102,26159,336.148
103,24849,336.148
104,23606,336.148
105,22424,336.148
106,21302,336.148
107,20235,336.148
108,19221,336.148
109,18259,336.148
110,17344,336.148
111,16476,336.148
112,15652,336.148
113,14869,336.148
114,14125,336.148
115,13418,336.148
116,12746,336.148
117,12107,335.176
118,11500,325.969
119,10925,325.969
120,10378,325.969
121,9858,325.969
122,9364,323.567
123,8895,323.567
124,8448,323.567
125,8025,323.567
126,7623,322.94
127,7240,322.94
128,6878,303.173
129,6533,297.916
130,6205,297.916
131,5894,297.916
132,5598,297.916
133,5317,297.916
134,5050,297.916
135,4796,297.916
136,4556,297.916
137,4328,297.916
138,4111,297.916
139,3903,297.916
140,3706,297.916
141,3519,297.916
142,3341,297.41
143,3173,297.41
144,3013,297.41
145,2861,297.389
146,2717,292.433
147,2580,292.433
148,2451,292.433
149,2326,292.433
150,2208,292.433
151,2097,276.428
152,1991,276.428
153,1889,276.428
154,1794,276.428
155,1703,270.995
156,1616,270.995
157,1535,255.557
158,1456,255.557
159,1383,255.557
160,1312,255.557
161,1246,255.557
162,1182,255.557
163,1121,254.927
164,1064,254.927
165,1010,254.927
166,958,254.927
167,909,254.927
168,863,254.927
169,818,254.927
170,776,254.927
171,737,254.927
172,699,253.209
173,662,251.221
174,627,251.221
175,594,245.428
176,563,243.645
177,533,243.645
178,505,242.373
179,479,242.373
180,453,238
181,429,238
182,407,235.509
183,385,235.509
184,365,230.95
185,346,226.579
186,327,226.579
187,309,226.579
188,293,219.871
189,277,219.871
190,262,219.871
191,247,219.871
192,233,219.871
193,220,219.871
194,209,217.616
195,198,214.128
196,187,214.128
197,176,214.128
198,167,214.128
199,157,214.128
200,148,211.623
201,140,209.317
202,133,209.317
203,125,209.317
204,118,209.317
205,111,206.411
206,103,206.411
207,96,206.14
208,91,206.14
209,84,205.84
210,79,203.401
211,73,202.508
212,68,202.508
213,64,201.084
214,60,198.498
215,57,198.498
216,53,198.498
217,49,197.461
218,46,197.461
219,42,197.461
220,38,197.461
221,35,197.399
222,31,197.399
223,27,197.399
224,24,197.399
225,22,197.273
226,19,197.273
227,16,197.273
228,15,197.273
229,12,196.381
230,11,196.262
231,8,196.262
232,7,196.262
233,5,196.262
